Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Biologi,Hvilket dyr er kendt for at være verdens hurtigste på land?,100,Gepard,Leopard,Løve,Gazelle
Biologi,Hvilket træ mister ikke sine blade om vinteren?,200,Ene,Eg,Birk,Bøg
Biologi,Hvad er den største art af bjørn?,300,Isbjørn,Brun bjørn,Panda,Koala
Biologi,Hvilket dyr kan flyve baglæns?,400,Kolibri,Svale,Flagermus,Hveps
Biologi,Hvilken del af blomsten producerer pollen?,500,Støvdrager,Frugtknude,Støvvej,Blade
Biologi,Hvilken art er kendt som menneskets nærmeste nulevende slægtning?,600,Chimpansen,Orangutang,Gorilla,Bonobo
Biologi,Hvilket dyr er et krybdyr?,700,Slange,Frø,Haj,Egern
Biologi,Hvilket havpattedyr bruger ekko-lokalisering til at jage?,800,Delfin,Sæl,Manat,Skildpadde
Biologi,Hvilken del af hjernen styrer balance og koordination?,900,Lillehjernen,Storhjernen,Hjernestammen,Hippocampus
Biologi,"Hvad kaldes den proces, hvormed en larve bliver til en sommerfugl?",1000,Forvandling,Moulting,Fotosyntese,Fission
