Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Engelsk,Hvad er hovedstaden i Storbritannien?,100,London,Manchester,Birmingham,Liverpool
Engelsk,"Hvilken engelsksproget forfatter skrev ""Hamlet""?",200,William Shakespeare,Charles Dickens,Jane Austen,George Orwell
Engelsk,"Hvilket land fejrer ""Independence Day"" den 4. juli?",300,USA,Storbritannien,Canada,Australien
Engelsk,"Hvad hedder dronningen af Storbritannien, der regerede fra 1952 til 2022?",400,Elizabeth II,Victoria,Anne,Mary II
Engelsk,Hvad er navnet på Englands største flod?,500,Themsen,Rhone,Severn,Clyde
Engelsk,Hvad hedder valutaen i Storbritannien?,600,Britiske pund,Euro,Dollar,Krone
Engelsk,"Hvilken amerikansk by er kendt som ""The Big Apple""?",700,New York,Los Angeles,Chicago,San Francisco
Engelsk,Hvilket sprog er officielt i Australien?,800,Engelsk,Fransk,Spansk,Kinesisk
Engelsk,Hvad hedder den britiske nationalret med fritter?,900,Fish and chips,Bangers and mash,Scones,Yorkshire pudding
Engelsk,"Hvilket engelsk ord betyder ""farve"" på amerikansk?",1000,color,colour,hue,dye
