Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Europæiske hovedstæder,Hvad er hovedstaden i Frankrig?,100,Paris,Madrid,Berlin,Rome
Europæiske hovedstæder,Hvad er hovedstaden i Tyskland?,200,Berlin,Paris,Wien,Bern
Europæiske hovedstæder,Hvad er hovedstaden i Spanien?,300,Madrid,Lissabon,Athen,Rome
Europæiske hovedstæder,Hvad er hovedstaden i Italien?,400,Rome,Athen,Paris,Berlin
Europæiske hovedstæder,Hvilket land har hovedstaden Wien?,500,Østrig,Tyskland,Ungarn,Schweiz
Europæiske hovedstæder,Hvad er hovedstaden i Grækenland?,600,Athen,Rome,Sofia,Budapest
Europæiske hovedstæder,Hvilket land har hovedstaden Warszawa?,700,Polen,Tjekkiet,Slovakiet,Letland
Europæiske hovedstæder,Hvilket lands hovedstad er Bern?,800,Schweiz,Tyskland,Østrig,Belgien
Europæiske hovedstæder,Hvad er hovedstaden i Portugal?,900,Lissabon,Madrid,Valletta,Nicosia
Europæiske hovedstæder,Hvad er hovedstaden i Ungarn?,1000,Budapest,Bukarest,Sofia,Zagreb
