Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Intro,Hvad handler temaet heste primært om?,100,Heste,Science,Sport,Litteratur,,,
Fakta,Hvilket af følgende ord er stærkt forbundet med heste?,200,Heste,Biler,Planter,Kunst,,,
Historie,I hvilket århundrede blev heste særlig vigtigt?,300,1900-tallet,1700-tallet,1500-tallet,2000-tallet,,,
Personer,Hvilken kendt person er relateret til heste?,400,Ukendt,Kendte,Historiker,Forfatter,,,
Sjove fakta,Hvad er en interessant kendsgerning om heste?,500,De er fascinerende,Intet særligt,Det er kedeligt,Ved ikke,,,
Intro,Hvad handler temaet heste primært om?,100,Heste,Science,Sport,Litteratur,,,
Fakta,Hvilket af følgende ord er stærkt forbundet med heste?,200,Heste,Biler,Planter,Kunst,,,
Historie,I hvilket århundrede blev heste særlig vigtigt?,300,1900-tallet,1700-tallet,1500-tallet,2000-tallet,,,
Personer,Hvilken kendt person er relateret til heste?,400,Ukendt,Kendte,Historiker,Forfatter,,,
Sjove fakta,Hvad er en interessant kendsgerning om heste?,500,De er fascinerende,Intet særligt,Det er kedeligt,Ved ikke,,,
