Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Kemi,Hvad er symbolet for natrium?,100,Na,N,S,Sn
Kemi,Hvad er det letteste element?,200,Hydrogen,Helium,Lithium,Neon
Kemi,Hvad er atomnummeret for kulstof?,300,6,8,12,14
Kemi,Hvilket metal har symbolet Fe?,400,Jern,Kobber,Guld,Sølv
Kemi,Hvilket element er flydende ved stuetemperatur udover kviksølv?,500,Brom,Chlor,Cæsium,Francium
Kemi,Hvad er det kemiske symbol for kalium?,600,K,Ca,P,Kr
Kemi,Hvilket grundstof har atomnummer 79?,700,Guld,Sølv,Kobber,Platin
Kemi,Hvilket grundstof danner diamant og grafit?,800,Kulstof,Silicium,Svovl,Oxid
Kemi,Hvad er symbolet for helium?,900,He,Hg,H,Ho
Kemi,Hvilket grundstof bruges i blyanter?,1000,Kulstof,Bly,Jern,Magnesium
