Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Intro,Hvad handler temaet mad fra hele verden primært om?,100,Mad fra hele verden,Science,Sport,Litteratur,,,
Fakta,Hvilket af følgende ord er stærkt forbundet med mad fra hele verden?,200,Mad,Biler,Planter,Kunst,,,
Historie,I hvilket århundrede blev mad fra hele verden særlig vigtigt?,300,1900-tallet,1700-tallet,1500-tallet,2000-tallet,,,
Personer,Hvilken kendt person er relateret til mad fra hele verden?,400,Ukendt,Kendte,Historiker,Forfatter,,,
Sjove fakta,Hvad er en interessant kendsgerning om mad fra hele verden?,500,De er fascinerende,Intet særligt,Det er kedeligt,Ved ikke,,,
Intro,Hvad handler temaet mad fra hele verden primært om?,100,Mad fra hele verden,Science,Sport,Litteratur,,,
Fakta,Hvilket af følgende ord er stærkt forbundet med mad fra hele verden?,200,Mad,Biler,Planter,Kunst,,,
Historie,I hvilket århundrede blev mad fra hele verden særlig vigtigt?,300,1900-tallet,1700-tallet,1500-tallet,2000-tallet,,,
Personer,Hvilken kendt person er relateret til mad fra hele verden?,400,Ukendt,Kendte,Historiker,Forfatter,,,
Sjove fakta,Hvad er en interessant kendsgerning om mad fra hele verden?,500,De er fascinerende,Intet særligt,Det er kedeligt,Ved ikke,,,
