Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Mytologi,Hvem er tordenguden i nordisk mytologi?,100,Thor,Odin,Loki,Frej
Mytologi,Hvad hedder gudenes bolig i græsk mytologi?,200,Olympos,Asgård,Helheim,Valhalla
Mytologi,Hvem stjal Mjølner i nordisk mytologi?,300,Thrym,Surt,Mimer,Loke
Mytologi,Hvad hedder kæmpen der holder himlen oppe i græsk mytologi?,400,Atlas,Prometheus,Zeus,Ares
Mytologi,Hvilken gud er konge over de græske guder?,500,Zeus,Hermes,Hades,Apollo
Mytologi,Hvad hedder Odins to ravne?,600,Hugin og Munin,Geri og Freki,Sleipner og Garm,Narvi og Vali
Mytologi,Hvilken nordisk gud er kendt for sin list og forvandlingskunster?,700,Loki,Thor,Odin,Freja
Mytologi,Hvilket nordisk træ er forbindelsen mellem verdenerne?,800,Yggdrasil,Ask Yggdrasil,Valhall,Andvari
Mytologi,Hvem dræbte den græske drage Hydra?,900,Herakles,Perseus,Theseus,Achilles
Mytologi,Hvad hedder gudinden for kærlighed i græsk mytologi?,1000,Afrodite,Athene,Hera,Artemis
