Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Spansk,Hvad er hovedstaden i Spanien?,100,Madrid,Barcelona,Valencia,Sevilla
Spansk,Hvilket sprog tales i Spanien udover spansk i Catalonien?,200,Catalansk,Baskisk,Galicisk,Portugisisk
Spansk,Hvilken spansk øgruppe ligger i Atlanterhavet ud for Afrikas kyst?,300,De Kanarieske Øer,Balearerne,Sardinien,Sicilien
Spansk,"Hvem malede ""Guernica""?",400,Pablo Picasso,Salvador Dalí,Francisco Goya,Diego Velázquez
Spansk,Hvad hedder Spaniens kendte risret med skaldyr?,500,Paella,Tapas,Tortilla española,Gazpacho
Spansk,Hvilken spansk fest indebærer løb med tyre i Pamplona?,600,San Fermín,La Tomatina,Las Falles,Carnaval
Spansk,Hvad hedder den spanske nationalsang?,700,Marcha Real,La Marseillaise,God Save the Queen,Himno de Riego
Spansk,Hvilken ø er kendt som festø i Spanien?,800,Ibiza,Menorca,Gran Canaria,Tenerife
Spansk,"Hvilket sprog betyder ""hola""?",900,hej,farvel,tak,venligst
Spansk,Hvad hedder øgruppen hvor Mallorca ligger?,1000,Balearerne,De Kanarieske Øer,Sicilien,Sardinien
