Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Danmark,Hvilken dansk by er kendt for Den Lille Havfrue?,100,København,Odense,Aarhus,Aalborg
Danmark,Hvad hedder Danmarks ældste by?,200,Ribe,Roskilde,Aalborg,Helsingør
Danmark,Hvilket hav omkranser Bornholm?,300,Østersøen,Vesterhavet,Skagerrak,Kattegat
Danmark,Hvilket år blev Danmarks grundlov vedtaget første gang?,400,1849,1814,1864,1915
Danmark,Hvad hedder Danmarks højeste punkt?,500,Møllehøj,Yding Skovhøj,Ejer Bavnehøj,Himmelbjerget
Danmark,Hvilken dansk konge lod Jellingstenene rejse?,600,Harald Blåtand,Gorm den Gamle,Kong Knud,Svend Tveskæg
Danmark,Hvilken region ligger øen Læsø i?,700,Nordjylland,Sjælland,Syddanmark,Midtjylland
Danmark,"Hvilken dansk forfatter skrev eventyret ""Den grimme ælling""?",800,H.C. Andersen,Karen Blixen,Tove Ditlevsen,Søren Kierkegaard
Danmark,Hvilken halvø er Danmarks største?,900,Jylland,Sjælland,Fyn,Møn
Danmark,Hvilken by er kendt for Domkirkens røde tårn og en berømt musikfestival?,1000,Roskilde,Skagen,Esbjerg,Holstebro
Danmark,Hvilket dansk slot er hjemsted for den årlige politiske festival Folkemødet?,1100,Hammershus,Frederiksborg Slot,Egeskov Slot,Christiansborg
Danmark,Hvilken ø forbinder Storebæltsbroen?,1200,Fyn og Sjælland,Bornholm og Sjælland,Jylland og Fyn,Møn og Falster
Danmark,Hvilken vikingeby er rekonstruktion i Jylland?,1300,Fyrkat,Trelleborg,Lindholm Høje,Bork Vikingehavn
Danmark,Hvor ligger Danmarks nationalparlament Folketinget?,1400,Christiansborg,Amalienborg,Rosenborg,Det Hvide Hus
Danmark,Hvilken ø er Danmarks næststørste?,1500,Sjælland,Fyn,Lolland,Mors
