Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Dansk politik,Hvad hedder Danmarks nuværende dronning (pr. 2024)?,100,Dronning Margrethe II,Dronning Ingrid,Dronning Anne,Dronning Elisabeth
Dansk politik,Hvilken bygning huser Folketinget?,200,Christiansborg,Amalienborg,Borgen,Rosenborg
Dansk politik,Hvem var Danmarks statsminister fra 2019 til 2022?,300,Mette Frederiksen,Lars Løkke Rasmussen,Helle Thorning-Schmidt,Poul Nyrup Rasmussen
Dansk politik,Hvilket parti har en rød rose som logo?,400,Socialdemokratiet,Venstre,Konservative,Radikale Venstre
Dansk politik,Hvor mange medlemmer har Folketinget?,500,179,150,200,250
Dansk politik,Hvad hedder Danmarks grundlovsdag?,600,5. juni,1. maj,24. december,15. april
Dansk politik,Hvilket parti repræsenterer traditionelt landbruget og har farven blå?,700,Venstre,Enhedslisten,Alternativet,Socialistisk Folkeparti
Dansk politik,Hvad hedder den danske nationalforsamling?,800,Folketinget,Rådet,Lagtinget,Landstinget
Dansk politik,Hvem var den første kvindelige statsminister i Danmark?,900,Helle Thorning-Schmidt,Mette Frederiksen,Pia Kjærsgaard,Ulla Tørnæs
Dansk politik,Hvad er navnet på den danske europæiske samarbejdsaftale fra 1993?,1000,Edinburgh-aftalen,Maastricht-traktaten,Lissabon-traktaten,Schengen-aftalen
Dansk politik,"Hvilket parti har bogstavet ""A"" på stemmesedlerne?",1100,Socialdemokratiet,Radikale Venstre,Venstre,Liberal Alliance
Dansk politik,Hvad hedder Danmarks finansminister pr. 2024?,1200,Nicolai Wammen,Kristian Jensen,Benny Engelbrecht,Inger Støjberg
Dansk politik,Hvilket år fik kvinder stemmeret i Danmark?,1300,1915,1910,1921,1901
Dansk politik,Hvilket parti er kendt som de konservative?,1400,Det Konservative Folkeparti,Venstre,Radikale Venstre,Dansk Folkeparti
Dansk politik,Hvad hedder møntfoden i Danmark?,1500,Dansk krone,Euro,Svensk krone,Norsk krone
