Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Europæiske hovedstæder,Hvad er hovedstaden i Frankrig?,100,Paris,Madrid,Berlin,Rome
Europæiske hovedstæder,Hvad er hovedstaden i Tyskland?,200,Berlin,Paris,Wien,Bern
Europæiske hovedstæder,Hvad er hovedstaden i Spanien?,300,Madrid,Lissabon,Athen,Rome
Europæiske hovedstæder,Hvad er hovedstaden i Italien?,400,Rome,Athen,Paris,Berlin
Europæiske hovedstæder,Hvilket land har hovedstaden Wien?,500,Østrig,Tyskland,Ungarn,Schweiz
Europæiske hovedstæder,Hvad er hovedstaden i Grækenland?,600,Athen,Rome,Sofia,Budapest
Europæiske hovedstæder,Hvilket land har hovedstaden Warszawa?,700,Polen,Tjekkiet,Slovakiet,Letland
Europæiske hovedstæder,Hvilket lands hovedstad er Bern?,800,Schweiz,Tyskland,Østrig,Belgien
Europæiske hovedstæder,Hvad er hovedstaden i Portugal?,900,Lissabon,Madrid,Valletta,Nicosia
Europæiske hovedstæder,Hvad er hovedstaden i Ungarn?,1000,Budapest,Bukarest,Sofia,Zagreb
Europæiske hovedstæder,Hvilket land har hovedstaden Dublin?,1100,Irland,Storbritannien,Island,Norge
Europæiske hovedstæder,Hvad er hovedstaden i Belgien?,1200,Bruxelles,Luxembourg,Bern,Amsterdam
Europæiske hovedstæder,Hvilket lands hovedstad er Amsterdam?,1300,Nederlandene,Belgien,Danmark,Tyskland
Europæiske hovedstæder,Hvilket land har hovedstaden Helsinki?,1400,Finland,Sverige,Norge,Estland
Europæiske hovedstæder,Hvad er hovedstaden i Rusland?,1500,Moskva,Sankt Petersborg,Kiev,Minsk
Europæiske hovedstæder,Hvilket lands hovedstad er Praha?,1600,Tjekkiet,Slovakiet,Ungarn,Polen
Europæiske hovedstæder,Hvilket land har hovedstaden Oslo?,1700,Norge,Danmark,Finland,Sverige
Europæiske hovedstæder,Hvad er hovedstaden i Rumænien?,1800,Bukarest,Sofia,Beograd,Zagreb
Europæiske hovedstæder,Hvad er hovedstaden i Kroatien?,1900,Zagreb,Ljubljana,Beograd,Skopje
Europæiske hovedstæder,Hvilket land har hovedstaden Sofia?,2000,Bulgarien,Albanien,Grækenland,Moldova
Europæiske hovedstæder,Hvad er hovedstaden i Litauen?,2100,Vilnius,Riga,Tallinn,Chisinau
Europæiske hovedstæder,Hvilket lands hovedstad er Riga?,2200,Letland,Litauen,Estland,Færøerne
Europæiske hovedstæder,Hvad er hovedstaden i Serbien?,2300,Beograd,Skopje,Sarajevo,Podgorica
Europæiske hovedstæder,Hvilket land har hovedstaden Ankara?,2400,Tyrkiet,Georgien,Azerbaijan,Armenien
Europæiske hovedstæder,Hvilket lands hovedstad er Valletta?,2500,Malta,Cypern,Andorra,San Marino
