Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Intro,Hvad handler temaet kaninunger primært om?,100,Kaninunger,Science,Sport,Litteratur,,,
Fakta,Hvilket af følgende ord er stærkt forbundet med kaninunger?,200,Kaninunger,Biler,Planter,Kunst,,,
Historie,I hvilket århundrede blev kaninunger særlig vigtigt?,300,1900-tallet,1700-tallet,1500-tallet,2000-tallet,,,
Personer,Hvilken kendt person er relateret til kaninunger?,400,Ukendt,Kendte,Historiker,Forfatter,,,
Sjove fakta,Hvad er en interessant kendsgerning om kaninunger?,500,De er fascinerende,Intet særligt,Det er kedeligt,Ved ikke,,,
Intro,Hvad handler temaet kaninunger primært om?,100,Kaninunger,Science,Sport,Litteratur,,,
Fakta,Hvilket af følgende ord er stærkt forbundet med kaninunger?,200,Kaninunger,Biler,Planter,Kunst,,,
Historie,I hvilket århundrede blev kaninunger særlig vigtigt?,300,1900-tallet,1700-tallet,1500-tallet,2000-tallet,,,
Personer,Hvilken kendt person er relateret til kaninunger?,400,Ukendt,Kendte,Historiker,Forfatter,,,
Sjove fakta,Hvad er en interessant kendsgerning om kaninunger?,500,De er fascinerende,Intet særligt,Det er kedeligt,Ved ikke,,,
Intro,Hvad handler temaet kaninunger primært om?,100,Kaninunger,Science,Sport,Litteratur,,,
Fakta,Hvilket af følgende ord er stærkt forbundet med kaninunger?,200,Kaninunger,Biler,Planter,Kunst,,,
Historie,I hvilket århundrede blev kaninunger særlig vigtigt?,300,1900-tallet,1700-tallet,1500-tallet,2000-tallet,,,
Personer,Hvilken kendt person er relateret til kaninunger?,400,Ukendt,Kendte,Historiker,Forfatter,,,
Sjove fakta,Hvad er en interessant kendsgerning om kaninunger?,500,De er fascinerende,Intet særligt,Det er kedeligt,Ved ikke,,,
Intro,Hvad handler temaet kaninunger primært om?,100,Kaninunger,Science,Sport,Litteratur,,,
Fakta,Hvilket af følgende ord er stærkt forbundet med kaninunger?,200,Kaninunger,Biler,Planter,Kunst,,,
Historie,I hvilket århundrede blev kaninunger særlig vigtigt?,300,1900-tallet,1700-tallet,1500-tallet,2000-tallet,,,
Personer,Hvilken kendt person er relateret til kaninunger?,400,Ukendt,Kendte,Historiker,Forfatter,,,
Sjove fakta,Hvad er en interessant kendsgerning om kaninunger?,500,De er fascinerende,Intet særligt,Det er kedeligt,Ved ikke,,,
Intro,Hvad handler temaet kaninunger primært om?,100,Kaninunger,Science,Sport,Litteratur,,,
Fakta,Hvilket af følgende ord er stærkt forbundet med kaninunger?,200,Kaninunger,Biler,Planter,Kunst,,,
Historie,I hvilket århundrede blev kaninunger særlig vigtigt?,300,1900-tallet,1700-tallet,1500-tallet,2000-tallet,,,
Personer,Hvilken kendt person er relateret til kaninunger?,400,Ukendt,Kendte,Historiker,Forfatter,,,
Sjove fakta,Hvad er en interessant kendsgerning om kaninunger?,500,De er fascinerende,Intet særligt,Det er kedeligt,Ved ikke,,,
