Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Astronomi,Hvad hedder vores galakse?,100,Mælkevejen,Andromeda,Sombrero,Triangulum
Astronomi,Hvilket planet er tættest på solen?,200,Merkur,Venus,Jorden,Mars
Astronomi,Hvilken planet er kendt for sine ringe?,300,Saturn,Jupiter,Uranus,Neptun
Astronomi,Hvad hedder den røde planet?,400,Mars,Jupiter,Venus,Saturn
Astronomi,Hvilket himmellegeme kredser Jorden om?,500,Solen,Månen,Mars,Saturn
Astronomi,Hvad kaldes en stjerne der eksploderer og lyser kraftigt?,600,Supernova,Kometa,Nebula,Asteroide
Astronomi,Hvad hedder NASAs første mand på månen?,700,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,Michael Collins
Astronomi,Hvad hedder vores solsystem?,800,Solssystemet,Andromeda,Alpha Centauri,Stjernens system
Astronomi,Hvilken planet har en stor rød plet?,900,Jupiter,Mars,Saturn,Venus
Astronomi,Hvad hedder den videnskab der studerer stjerner og universet?,1000,Astronomi,Astrologi,Geologi,Biologi
Astronomi,Hvilket rumteleskop blev opsendt i 1990 og revolutionerede astronomi?,1100,Hubble,Roskosmos,Kepler,Galileo
Astronomi,Hvad hedder NASAs rover der landede på Mars i 2021?,1200,Perseverance,Curiosity,Spirit,Opportunity
Astronomi,Hvilken planet kaldes Jordens tvilling?,1300,Venus,Mars,Merkur,Neptun
Astronomi,Hvad er en meteor?,1400,En lille sten der brænder op i atmosfæren,En komets kerne,En frossen gasbold,En ring af is
Astronomi,Hvilket land sendte den første menneske i rummet?,1500,Sovjetunionen,USA,Kina,Frankrig
Astronomi,Hvad hedder stjernen tættest på Jorden efter solen?,1600,Proxima Centauri,Sirius,Betelgeuse,Vega
Astronomi,Hvad kaldes den mørke plet på Solen?,1700,Solfleks,Solblemme,Solsystem,Solpunkt
Astronomi,"Hvad hedder det strålebånd, som rumskibe slipper Jorden i?",1800,Van Allen-bælterne,Kuiperbæltet,Oort-skyen,Asteroidbæltet
Astronomi,Hvad hedder stjernebilledet med tre klare stjerner i bælte?,1900,Orion,Ursa Major,Scorpius,Taurus
Astronomi,Hvilken planet har månerne Phobos og Deimos?,2000,Mars,Jupiter,Saturn,Neptun
Astronomi,Hvilket rumfartøj fløj længst væk fra Jorden?,2100,Voyager 1,Apollo 11,Curiosity,ISS
Astronomi,Hvad kaldes den hypotetiske usynlige masse i universet?,2200,Mørkt stof,Lysende stof,Galaktisk masse,Skyggepartikler
Astronomi,Hvad hedder NASAs program der sendte mennesker til månen?,2300,Apollo,Mercury,Gemini,Skylab
Astronomi,Hvad kaldes de store isklumper der kredser om solen i elliptiske baner?,2400,Kometer,Meteorer,Asteroider,Planeter
Astronomi,Hvad er navnet på den store stjerne i stjernebilledet Lyren?,2500,Vega,Deneb,Altair,Rigel
Astronomi,Hvad hedder den dværgplanet der tidligere blev regnet som den niende planet?,2600,Pluto,Ceres,Eris,Makemake
Astronomi,Hvilken planet roterer nærmest liggende på siden?,2700,Uranus,Venus,Saturn,Jupiter
Astronomi,Hvad kaldes et område hvor tyngdekraften er så stærk at lys ikke kan slippe væk?,2800,Sort hul,Nebula,Kvasar,Pulsar
Astronomi,Hvilken måne kredser om Saturn og har tyk atmosfære?,2900,Titan,Europa,Io,Ganymedes
Astronomi,Hvad hedder grænsen omkring et sort hul?,3000,Begivenhedshorisonten,Oort-skyen,Asteroidbæltet,Solvinden
