Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Danmark,Hvilken dansk by er kendt for Den Lille Havfrue?,100,København,Odense,Aarhus,Aalborg
Danmark,Hvad hedder Danmarks ældste by?,200,Ribe,Roskilde,Aalborg,Helsingør
Danmark,Hvilket hav omkranser Bornholm?,300,Østersøen,Vesterhavet,Skagerrak,Kattegat
Danmark,Hvilket år blev Danmarks grundlov vedtaget første gang?,400,1849,1814,1864,1915
Danmark,Hvad hedder Danmarks højeste punkt?,500,Møllehøj,Yding Skovhøj,Ejer Bavnehøj,Himmelbjerget
Danmark,Hvilken dansk konge lod Jellingstenene rejse?,600,Harald Blåtand,Gorm den Gamle,Kong Knud,Svend Tveskæg
Danmark,Hvilken region ligger øen Læsø i?,700,Nordjylland,Sjælland,Syddanmark,Midtjylland
Danmark,"Hvilken dansk forfatter skrev eventyret ""Den grimme ælling""?",800,H.C. Andersen,Karen Blixen,Tove Ditlevsen,Søren Kierkegaard
Danmark,Hvilken halvø er Danmarks største?,900,Jylland,Sjælland,Fyn,Møn
Danmark,Hvilken by er kendt for Domkirkens røde tårn og en berømt musikfestival?,1000,Roskilde,Skagen,Esbjerg,Holstebro
Danmark,Hvilket dansk slot er hjemsted for den årlige politiske festival Folkemødet?,1100,Hammershus,Frederiksborg Slot,Egeskov Slot,Christiansborg
Danmark,Hvilken ø forbinder Storebæltsbroen?,1200,Fyn og Sjælland,Bornholm og Sjælland,Jylland og Fyn,Møn og Falster
Danmark,Hvilken vikingeby er rekonstruktion i Jylland?,1300,Fyrkat,Trelleborg,Lindholm Høje,Bork Vikingehavn
Danmark,Hvor ligger Danmarks nationalparlament Folketinget?,1400,Christiansborg,Amalienborg,Rosenborg,Det Hvide Hus
Danmark,Hvilken ø er Danmarks næststørste?,1500,Sjælland,Fyn,Lolland,Mors
Danmark,"Hvad hedder broen, der forbinder Danmark og Sverige?",1600,Øresundsbroen,Storebæltsbroen,Lillebæltsbroen,Great Belt Bridge
Danmark,"Hvilken by er kendt som Danmarks ""smilets by""?",1700,Aarhus,Aalborg,Odense,Vejle
Danmark,Hvilken ø ligger Møns Klint på?,1800,Møn,Langeland,Bornholm,Fyn
Danmark,"Hvilken dansk maler er kendt for billedet ""Skagens Piger""?",1900,P.S. Krøyer,Anna Ancher,Vilhelm Hammershøi,Asger Jorn
Danmark,Hvilket dansk museum huser H.C. Andersens barndomshjem?,2000,Odense,Aarhus,Roskilde,København
Danmark,Hvad hedder Danmarks største sø?,2100,Arresø,Esrum Sø,Furesø,Mossø
Danmark,Hvilket år mistede Danmark Norge?,2200,1814,1807,1789,1905
Danmark,Hvilket vikingeskibsmuseum ligger i Roskilde?,2300,Vikingeskibsmuseet,Tøjhusmuseet,Nationalmuseet,Moesgaard
Danmark,"Hvilken by kaldes Danmarks ""Sildens hovedstad""?",2400,Skagen,Esbjerg,Hirtshals,Frederikshavn
Danmark,Hvilket dansk øhav består af over 90 småøer?,2500,Det sydfynske øhav,Smålandsfarvandet,Anholt,Isefjord
Danmark,Hvilken dansk by er kendt for Koldinghus?,2600,Kolding,Viborg,Næstved,Randers
Danmark,Hvilken dansk ø ligger syd for Sjælland og vest for Falster?,2700,Lolland,Møn,Læsø,Samsø
Danmark,Hvad hedder halvøen nord for Limfjorden?,2800,Vendsyssel,Djursland,Mols,Hindsholm
Danmark,Hvilken by er kendt for H.C. Andersens fødested?,2900,Odense,Ribe,Sønderborg,Herning
Danmark,Hvilken by ligger ved Mariager Fjord?,3000,Hobro,Skagen,Rønne,Køge
