Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Intro,Hvad handler temaet danske opfindelser primært om?,100,Danske opfindelser,Science,Sport,Litteratur,,,
Fakta,Hvilket af følgende ord er stærkt forbundet med danske opfindelser?,200,Danske,Biler,Planter,Kunst,,,
Historie,I hvilket århundrede blev danske opfindelser særlig vigtigt?,300,1900-tallet,1700-tallet,1500-tallet,2000-tallet,,,
Personer,Hvilken kendt person er relateret til danske opfindelser?,400,Ukendt,Kendte,Historiker,Forfatter,,,
Sjove fakta,Hvad er en interessant kendsgerning om danske opfindelser?,500,De er fascinerende,Intet særligt,Det er kedeligt,Ved ikke,,,
Intro,Hvad handler temaet danske opfindelser primært om?,100,Danske opfindelser,Science,Sport,Litteratur,,,
Fakta,Hvilket af følgende ord er stærkt forbundet med danske opfindelser?,200,Danske,Biler,Planter,Kunst,,,
Historie,I hvilket århundrede blev danske opfindelser særlig vigtigt?,300,1900-tallet,1700-tallet,1500-tallet,2000-tallet,,,
Personer,Hvilken kendt person er relateret til danske opfindelser?,400,Ukendt,Kendte,Historiker,Forfatter,,,
Sjove fakta,Hvad er en interessant kendsgerning om danske opfindelser?,500,De er fascinerende,Intet særligt,Det er kedeligt,Ved ikke,,,
Intro,Hvad handler temaet danske opfindelser primært om?,100,Danske opfindelser,Science,Sport,Litteratur,,,
Fakta,Hvilket af følgende ord er stærkt forbundet med danske opfindelser?,200,Danske,Biler,Planter,Kunst,,,
Historie,I hvilket århundrede blev danske opfindelser særlig vigtigt?,300,1900-tallet,1700-tallet,1500-tallet,2000-tallet,,,
Personer,Hvilken kendt person er relateret til danske opfindelser?,400,Ukendt,Kendte,Historiker,Forfatter,,,
Sjove fakta,Hvad er en interessant kendsgerning om danske opfindelser?,500,De er fascinerende,Intet særligt,Det er kedeligt,Ved ikke,,,
Intro,Hvad handler temaet danske opfindelser primært om?,100,Danske opfindelser,Science,Sport,Litteratur,,,
Fakta,Hvilket af følgende ord er stærkt forbundet med danske opfindelser?,200,Danske,Biler,Planter,Kunst,,,
Historie,I hvilket århundrede blev danske opfindelser særlig vigtigt?,300,1900-tallet,1700-tallet,1500-tallet,2000-tallet,,,
Personer,Hvilken kendt person er relateret til danske opfindelser?,400,Ukendt,Kendte,Historiker,Forfatter,,,
Sjove fakta,Hvad er en interessant kendsgerning om danske opfindelser?,500,De er fascinerende,Intet særligt,Det er kedeligt,Ved ikke,,,
Intro,Hvad handler temaet danske opfindelser primært om?,100,Danske opfindelser,Science,Sport,Litteratur,,,
Fakta,Hvilket af følgende ord er stærkt forbundet med danske opfindelser?,200,Danske,Biler,Planter,Kunst,,,
Historie,I hvilket århundrede blev danske opfindelser særlig vigtigt?,300,1900-tallet,1700-tallet,1500-tallet,2000-tallet,,,
Personer,Hvilken kendt person er relateret til danske opfindelser?,400,Ukendt,Kendte,Historiker,Forfatter,,,
Sjove fakta,Hvad er en interessant kendsgerning om danske opfindelser?,500,De er fascinerende,Intet særligt,Det er kedeligt,Ved ikke,,,
Intro,Hvad handler temaet danske opfindelser primært om?,100,Danske opfindelser,Science,Sport,Litteratur,,,
Fakta,Hvilket af følgende ord er stærkt forbundet med danske opfindelser?,200,Danske,Biler,Planter,Kunst,,,
Historie,I hvilket århundrede blev danske opfindelser særlig vigtigt?,300,1900-tallet,1700-tallet,1500-tallet,2000-tallet,,,
Personer,Hvilken kendt person er relateret til danske opfindelser?,400,Ukendt,Kendte,Historiker,Forfatter,,,
Sjove fakta,Hvad er en interessant kendsgerning om danske opfindelser?,500,De er fascinerende,Intet særligt,Det er kedeligt,Ved ikke,,,
